transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
UQMC395Y8Y06DI,3561410000000000.0,dki,"Dr. Janet Nashiruddin, M.Ak",M,2010,4,Pulo Gadung 2 - Tosari,1,P00167,Pemuda Rawamangun,-6.193488,106.89165,12,2023-04-10 05:07:00,P00127,Layur,-6.193539,106.89909,13.0,4/10/2023 5:36,3500.0
SGUL129X0K35HP,347728000000000.0,emoney,Balamantri Rahayu,M,2002,JAK.28,Kp. Rambutan - Taman Wiladatika,1,,Sekolah Islam PB Soedirman,-6.314293,106.86298,27,2023-04-10 05:13:00,B00865P,Jln. Ar Ridho,-6.308148,106.86935,30.0,4/10/2023 6:05,0.0
YRXR975Z6P79VI,377105000000000.0,emoney,Dian Mustofa,F,1993,B13,Bekasi Barat - Blok M,1,B02192P,Mall Metropolitan,-6.247861,106.99215,6,2023-04-10 06:19:00,B00108P,Bandar Djakarta Bekasi,-6.227085,106.99683,9.0,4/10/2023 7:11,20000.0
XWSO058A4V46BA,4486490000000000.0,dki,"Cut Janet Suryatmi, M.Ak",M,1980,8K,Batusari - Grogol,1,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,16,2023-04-10 05:38:00,B05914P,Yayasan Alkahfi Jakbar,-6.198896,106.76889,26.0,4/10/2023 6:11,3500.0
XSTP399K9B50HS,30139400000000.0,bni,"dr. Mulyanto Pudjiastuti, M.Ak",F,1997,2Q,Gondangdia - Balai Kota,0,B00184P,BRI Menteng,-6.186792,106.83514,2,2023-04-10 06:30:00,B02755P,Perpustakaan Nasional,-6.180673,106.82643,5.0,4/10/2023 6:59,3500.0
JMMD895K8G42QY,30394300000000.0,bni,"Dasa Prakasa, S.I.Kom",F,1993,JAK.117,Tanjung Priok - Tanah Merdeka,1,B04272P,Sbr. RPTRA Radar Pembangunan,-6.120126,106.89638,17,2023-04-10 06:26:00,B04818P,Simpang Gotong Royong 2,-6.125482,106.89331,21.0,4/10/2023 7:17,0.0
XDBT851T0N31XM,4974830000000000.0,dki,Elvina Hasanah,M,1966,,Rusun Tambora - Pluit,0,P00090,Jembatan Dua,-6.143279,106.79352,5,2023-04-10 05:54:00,P00170,Penjaringan,-6.126306,106.79203,7.0,4/10/2023 6:33,0.0
NNCY164C2E51OH,3532180000000000.0,dki,"Perkasa Prakasa, M.Pd",F,2011,JAK.31,Blok M - Andara,0,B00042P,Andara Margasatwa 1,-6.313471,106.80369,55,2023-04-10 06:46:00,B01147P,Jln. H. Terin Pangkalan Jati,-6.327961,106.80054,56.0,4/10/2023 7:39,0.0
BWRS455M1K12OH,3537520000000000.0,dki,Ayu Wahyudin,F,2009,JAK.37,Cililitan - Condet via Kayu Manis,1,B05218P,Simpang Waru Tengah,-6.293301,106.85862,10,2023-04-10 05:51:00,B00405P,Gg. Ani Raya Condet,-6.266674,106.86054,37.0,4/10/2023 6:31,0.0
KYQU121F0P47SQ,4.67715e+18,brizzi,"H. Xanana Santoso, S.Farm",M,2010,JAK.15,Bulak Turi - Tanjung Priok,0,B01327P,Jln. Lorong 5,-6.107716,106.8955,46,2023-04-10 05:16:00,B05728P,Term. Tj. Priok 1,-6.1098,106.88118,52.0,4/10/2023 5:50,0.0
